Job_Roles,text,avg_exp,salary,locations,skills
Analyst,analyst kotak mahindra bank limit mumbai internal audit data analysis data scientist dashboards rbi report data report audit,6.5,800000 - 1500000 ,Mumbai,"Internal Audit
Data Analysis
data scientist
Dashboards
RBI reporting
Data Reporting
Auditing"
Big Data Engineer,big data engineer bell technology pune delhi ncr delhi ncr mumbai bengaluru chandigarh hyderabad jaipur internal audit data analysis data scientist dashboards rbi report data report audit,5.5,Not disclosed,"Pune, Delhi/NCR Delhi NCR, Mumbai, Bengaluru, Chandigarh, Hyderabad, Jaipur","Internal Audit
Data Analysis
data scientist
Dashboards
RBI reporting
Data Reporting
Auditing"
Analyst,analyst talentstack mumbai data management data visualization data analytics statistics machine learn analytics sql python,1.0,Not disclosed,Mumbai,"Data Management
Data Visualization
Data Analytics
Statistics
Machine Learning
Analytics
SQL
Python"
Analyst,analyst eli research india private limit delhi ncr mumbai bengaluru financial analysis data warehouse epm power anaplan olap crystal report,6.5,Not disclosed,"Delhi NCR, Mumbai, Bengaluru","financial analysis
data warehouse
EPM
Power BI
BI
Anaplan
OLAP
Crystal Reports"
Analyst,analyst miracle solution pvt ltd mumbai telecom database design business data analyst process improvement data collection design development power data analytics,10.5,Not disclosed,Mumbai,"Telecom
Database design
Business Data Analyst
Process improvement
Data collection
Design development
power bi
Data analytics"
Analyst,analyst sride carpool pune data analysis product engineer html data analyst business intelligence operations sql data extraction,5.5,Not disclosed,Pune,"Data analysis
Product engineering
HTML
Data Analyst
Business intelligence
Operations
SQL
Data extraction"
Analyst,analyst snaphunt bengaluru knowledge share data manipulation computer science data analysis career development data analytics apply mathematics python,6.5,Not disclosed,Bengaluru,"Knowledge Sharing
Data Manipulation
Computer Science
Data Analysis
Career Development
Data Analytics
Applied Mathematics
Python"
Big Data Engineer,big data engineer virtusa consult service pvt ltd bengaluru knowledge share data manipulation computer science data analysis career development data analytics apply mathematics python,6.5,Not disclosed,Bengaluru,"Knowledge Sharing
Data Manipulation
Computer Science
Data Analysis
Career Development
Data Analytics
Applied Mathematics
Python"
Analyst,analyst bridgetree research service ltd bengaluru kolkata analytical skills database market market campaign data quality data analyst ssis business intelligence data mine,7.5,Not disclosed,"Bengaluru, Kolkata","Analytical skills
Database marketing
Marketing campaigns
Data quality
Data Analyst
SSIS
Business intelligence
Data mining"
Analyst,analyst sunstone education technology pvt ltd noida google analytics web technologies data analysis google analyst web analytics data analytics google tag manger,1.0,400000 ,Noida,"r
Google Analytics
Web Technologies
Data Analysis
google analyst
Web Analytics
Data Analytics
google tag manger"
Analyst,analyst navitas llp chennai bengaluru head business development clinical data analyst mentor life sciences management,3.5,Not disclosed,"Chennai, Bengaluru","Head Business Development
Clinical Data Analyst
Mentor
Life sciences
Management"
Analyst,analyst myntra com bengaluru business analysis data manipulation finance manager technology data analyst business model customer experience analytics,3.0,Not disclosed,Bengaluru,"Business analysis
data manipulation
Finance
Manager Technology
Data Analyst
Business modeling
Customer experience
Analytics"
Analyst,analyst bloom consult service bengaluru analytical skills sql query consult schema senior data analyst qlikview big data fact,5.0,Not disclosed,Bengaluru,"Analytical skills
SQL queries
Consulting
Schema
Senior Data Analyst
QlikView
big data
Fact"
Analyst,analyst codehall technology bengaluru product management retail data analysis diagnostics manager technology forensic data integrity data analyst,7.5,Not disclosed,Bengaluru,"Product management
Retail
Data analysis
Diagnostics
Manager Technology
Forensic
data integrity
Data Analyst"
Analyst,analyst bridgetree research service ltd bengaluru kolkata analytical skills database market senior data analyst market campaign data quality ssis business intelligence data mine,7.5,Not disclosed,"Bengaluru, Kolkata","Analytical skills
Database marketing
Senior Data Analyst
Marketing campaigns
Data quality
SSIS
Business intelligence
Data mining"
Analyst,analyst advance computer software group bengaluru administration data analysis usage focus relationship data analyst jira business executive,3.5,Not disclosed,Bengaluru,"Administration
Data analysis
Usage
Focus
Relationship
Data Analyst
JIRA
Business Executive"
Researcher,researcher mount talent consult private limit delhi netaji subhash place data research web research database research vlookup conditional format data mine pivot advance excel,0.5,275000 - 300000 ,Delhi(Netaji Subhash Place),"Data Research
Web Research
Database Research
VLOOKUP
Conditional Formatting
Data Mining
Pivot
Advanced Excel"
Analyst,analyst phenom placement consultancy bengaluru data validation senior analyst hyperion analytical server management investment bank informatica principal,3.0,Not disclosed,Bengaluru,"Data validation
Senior Analyst
Hyperion
Analytical
Server management
Investment banking
Informatica
Principal"
Big Data Engineer,big data engineer teamware solutions bengaluru front office pdf static data oops anti money launder bank investment bank financial service,1.5,Not disclosed,Bengaluru,"Front office
PDF
static data
OOPS
Anti money laundering
Banking
Investment banking
Financial services"
Analyst,analyst heritage foods limit hyderabad sap fico excel powerpoint vlookup data analysis advance excel office word hlookup,1.5,500000 - 600000 ,Hyderabad,"SAP FICO
Excel Powerpoint
VLOOKUP
Data Analysis
Advanced Excel
MS Office Word
HLOOKUP"
Analyst,analyst accenture solutions pvt ltd hyderabad analyst test script reconciliation consult database design development manual individual contributor,6.5,Not disclosed,Hyderabad,"Analyst
Test scripts
Reconciliation
Consulting
Database
Design development
Manual
Individual Contributor"
Analyst,analyst gaba consultancy service delhi ncr noida gurgaon analyst test script reconciliation consult database design development manual individual contributor,2.5,Not disclosed,"Delhi NCR, Noida, Gurgaon","Analyst
Test scripts
Reconciliation
Consulting
Database
Design development
Manual
Individual Contributor"
Analyst,analyst institute personality development pune nagpur delhi mumbai aurangabad greater noida noida knowledge excel computer savvy,2.5,175000 - 300000 ,"Pune, Nagpur, Delhi, Mumbai, Aurangabad, Greater Noida, Noida","knowledge of MS- excel
Computer savvy"
Manager,manager bajaj finance limit chennai pune delhi ncr mumbai bengaluru hyderabad kolkata data science machine learn python communication skills design development requirement gather data analysis verbal communication,5.5,Not disclosed,"Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad, Kolkata","Data Science
Machine Learning
Python
Communication Skills
Design Development
Requirement Gathering
Data Analysis
Verbal Communication"
Analyst,analyst upgrad education pvt ltd mumbai mstr team management sas team handle business data analyst tableau data analyst hive,8.5,Not disclosed,Mumbai,"MSTR
Team Management
SAS
Team handling
business data analyst
Tableau
data analyst
Hive"
Analyst,analyst instacar delhi ncr mumbai bengaluru data analysis model data analytics market analysis analytics business analysis,7.5,Not disclosed,"Delhi NCR, Mumbai, Bengaluru","data analysis
modeling
Data Analytics
market analysis
Analytics
Business Analysis"
Analyst,analyst pentation analytics mumbai text mine front end git neural network machine learn javascript php data mine,4.5,Not disclosed,Mumbai,"Text mining
Front end
GIT
Neural networks
Machine learning
Javascript
PHP
Data mining"
Big Data Engineer,big data engineer bell technology pune delhi ncr delhi ncr mumbai bengaluru chandigarh hyderabad jaipur sql scala developer big data engineer spark data model,5.5,Not disclosed,"Pune, Delhi/NCR Delhi NCR, Mumbai, Bengaluru, Chandigarh, Hyderabad, Jaipur","SQL
Scala developer
Big Data Engineer
Spark
Data Modelling"
Analyst,analyst ultria mumbai erp automation manager quality assurance project management artificial intelligence machine learn data governance telecommunication,4.0,Not disclosed,Mumbai,"ERP
Automation
Manager Quality Assurance
Project management
Artificial Intelligence
Machine learning
data governance
Telecommunication"
Analyst,analyst ingram micro pvt ltd mumbai data warehouse etl sql ssms ssas ssrs olap data visualization,5.5,Not disclosed,Mumbai,"Data Warehousing
ETL
SQL
SSMS
SSAS
SSRS
OLAP
Data Visualization"
Analyst,analyst axis india limit mumbai business intelligence power segmentation data analysis tableau data clean data analytics,2.5,Not disclosed,Mumbai,"Business Intelligence
R
Power Bi
Segmentation
Data Analysis
Tableau
Data Cleaning
Data Analytics"
Analyst,analyst packt publish pvt ltd mumbai technology management instructional design business data analyst manager technology management data warehouse,2.5,Not disclosed,Mumbai,"Technology management
Instructional design
Business Data Analyst
Manager Technology
Management
Data warehousing"
Analyst,analyst seven consultancy mumbai analytical skills data analysis data management business analyst business analysis data collection data analyst data analytics,3.5,Not disclosed,Mumbai,"Analytical skills
Data analysis
Data management
Business Analyst
Business analysis
Data collection
Data Analyst
Data analytics"
Analyst,analyst packt publish limit mumbai modification sql database business data analyst mysql senior data analyst tool power business intelligence,7.5,Not disclosed,Mumbai,"Modification
SQL database
Business Data Analyst
MySQL
Senior Data Analyst
Tools
power bi
Business intelligence"
Analyst,analyst mumbai vasai data analysis data management social media data collection customer support sem office data mine,0.5,Not disclosed,"Mumbai, Vasai","Data analysis
Data management
Social media
Data collection
Customer support
SEM
MS Office
Data mining"
Analyst,analyst iibm institute business management mumbai bengaluru hyderabad excel sql dba data analyst,2.5,250000 - 400000 ,"Mumbai, Bengaluru, Hyderabad","Excel
SQL DBA
data analyst"
Analyst,analyst affinityx pune financial analysis bill digital market advance excel advertise,3.0,Not disclosed,Pune,"Financial Analysis
Billing
Digital Marketing
Advanced Excel
Advertising"
Analyst,analyst medline industries india pvt ltd pune pune city financial analysis bill digital market advance excel advertise,3.5,500000 - 1500000 ,"Pune, Pune City","Financial Analysis
Billing
Digital Marketing
Advanced Excel
Advertising"
Analyst,analyst aci worldwide consult india pvt ltd pune predictive model data analysis system test data analyst statistics trend analysis database structure,3.0,Not disclosed,Pune,"Predictive Modeling
Data Analysis
system testing
Data Analyst
Statistics
Trend Analysis
database structures"
Analyst,analyst conduent business service india llp bengaluru night shift root cause analysis excel access call data analysis call center iex,5.5,Not disclosed,Bengaluru,"Night Shift
Root Cause Analysis
Excel
MS Access
Calling
Data Analysis
Call Center
IEX"
Software Engineer,software engineer cunesoft bengaluru night shift root cause analysis excel access call data analysis call center iex,4.0,Not disclosed,Bengaluru,"Night Shift
Root Cause Analysis
Excel
MS Access
Calling
Data Analysis
Call Center
IEX"
Analyst,analyst catalyst bengaluru night shift root cause analysis excel access call data analysis call center iex,4.0,Not disclosed,Bengaluru,"Night Shift
Root Cause Analysis
Excel
MS Access
Calling
Data Analysis
Call Center
IEX"
Software Engineer,software engineer cunesoft bengaluru night shift root cause analysis excel access call data analysis call center iex,4.0,Not disclosed,Bengaluru,"Night Shift
Root Cause Analysis
Excel
MS Access
Calling
Data Analysis
Call Center
IEX"
Manager,manager cognizant technology solutions india ltd chennai executive leadership excel statistical tool technical support data analysis data collection emotional intelligence predictive analytics,13.0,Not disclosed,Chennai,"Executive Leadership
Excel
Statistical Tools
Technical Support
Data Analysis
Data Collection
Emotional Intelligence
Predictive Analytics"
Analyst,analyst larsen toubro infotech limit india business analyst data model financial data analyst retail bank finance consult data analyst gap analysis,5.5,Not disclosed,India,"Business Analyst
Data modeling
Financial Data Analyst
Retail banking
Finance
Consulting
Data Analyst
Gap analysis"
Analyst,analyst codehall technology bengaluru jquery javascript ajax,7.5,Not disclosed,Bengaluru,"jQuery
Javascript
Ajax"
Data Engineer,data engineer snaphunt bengaluru creative solutions algorithms scalability artificial intelligence computer science neural network big data apply mathematics,2.5,Not disclosed,Bengaluru,"Creative Solutions
Algorithms
Scalability
Artificial Intelligence
Computer Science
Neural Networks
Big Data
Applied Mathematics"
Analyst,analyst aarna solutions pvt ltd bengaluru erp sap sas business data analyst xml spss oracle data mine,4.5,Not disclosed,Bengaluru,"ERP
SAP
SAS
Business Data Analyst
XML
SPSS
Oracle
Data mining"
Analyst,analyst prometheus consult bengaluru supply chain process orientation business analytics analytical consult market research data analyst customer experience,2.5,Not disclosed,Bengaluru,"Supply chain
Process orientation
Business analytics
Analytical
Consulting
Market research
Data Analyst
Customer experience"
Data Scientist,data scientist datatrained bengaluru noida computer science san french data science intern analytical machine learn predictive model,1.0,Not disclosed,"Bengaluru, Noida","Computer science
SAN
French
data science
Intern
Analytical
Machine learning
Predictive modeling"
Analyst,analyst cubic transportation systems india pvt ltd hyderabad computer science network linux analytical manager quality control oracle information technology analytics,4.0,Not disclosed,Hyderabad,"Computer science
Networking
Linux
Analytical
Manager Quality Control
Oracle
Information technology
Analytics"
Analyst,analyst ansr global corporation private limit hyderabad angularjs java azure support node devops jenkins,6.5,1500000 - 1700000 ,Hyderabad,"Angularjs
Java
Azure
Support
Node.Js
J2Ee
Devops
Jenkins"
Data Scientist,data scientist paperpedia private limit chennai delhi ncr sector noida bengaluru hyderabad noida kolkata stata spss econometrics big data analytics eviews research statistics data science,2.5,Not disclosed,"Chennai, Delhi NCR(Sector-16 Noida), Bengaluru, Hyderabad, Noida, Kolkata","STATA
SPSS
Econometrics
Big Data Analytics
Eviews
Research
Statistics
Data Science"
Analyst,analyst acara solutions inc chennai pune delhi ncr mumbai bengaluru hyderabad visakhapatnam kolkata vijayawada data validation pivot table excel vlookup data analysis advance excel tableau research,3.5,Not disclosed,"Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad, Visakhapatnam, Kolkata, Vijayawada","Data Validation
Pivot Table
Excel
VLOOKUP
Data Analysis
Advanced Excel
Tableau
Research"
Analyst,analyst india private limit mumbai business analytics confluence data analysis jira data analytics data map business analysis,6.5,Not disclosed,Mumbai,"Business Analytics
Confluence
Data Analysis
JIRA
Data Analytics
Data Mapping
Business Analysis"
Analyst,analyst larsen toubro infotech limit pune loan journal entries business analyst analytical consult data analyst data map stakeholder management,6.5,Not disclosed,Pune,"Loans
Journal entries
Business Analyst
Analytical
Consulting
Data Analyst
data mapping
Stakeholder management"
Analyst,analyst figmd pune service data migration linux consult hipaa data mine jira project delivery,4.0,Not disclosed,Pune,"IT services
Data migration
Linux
Consulting
HIPAA
Data mining
JIRA
Project delivery"
Analyst,analyst larsen toubro infotech limit pune data analysis business analyst consult capital market investment bank stakeholder management financial service sql,6.5,Not disclosed,Pune,"Data analysis
Business Analyst
Consulting
Capital market
Investment banking
Stakeholder management
Financial services
SQL"
Analyst,analyst lymbyc bengaluru analyst data validation nosql machine learn schema business intelligence lotus analytics,4.5,Not disclosed,Bengaluru,"Analyst
Data validation
NoSQL
Machine learning
Schema
Business intelligence
Lotus
Analytics"
Analyst,analyst quicken software development pvt ltd bengaluru product management computer science automation data analysis healthcare scrum open source jira,10.0,Not disclosed,Bengaluru,"Product management
Computer science
Automation
Data analysis
Healthcare
Scrum
Open source
JIRA"
Analyst,analyst truecover bengaluru analytical skills data analysis visual basic excel business analyst consult data analytics troubleshoot,4.0,Not disclosed,Bengaluru,"Analytical skills
Data analysis
Visual Basic
Excel
Business Analyst
Consulting
Data analytics
Troubleshooting"
Analyst,analyst alliance university bengaluru business object sas database design process improvement xml javascript data collection spss,7.5,Not disclosed,Bengaluru,"Business objects
SAS
Database design
Process improvement
XML
Javascript
Data collection
SPSS"
Analyst,analyst catalyst bengaluru data quality business analyst data analytics data structure,3.5,Not disclosed,Bengaluru,"Data Quality
Business Analyst
Data Analytics
Data Structure"
Manager,manager kodiak network india private limit bengaluru data management agile itil process data transformation configuration management knowledge management itsm cmdb,9.0,Not disclosed,Bengaluru,"Data Management
agile
ITIL Process
Data Transformation
Configuration Management
Knowledge Management
ITSM
CMDB"
Analyst,analyst conduent business service india llp bengaluru data analysis,6.5,Not disclosed,Bengaluru,Data Analysis
Data Engineer,data engineer fractal analytics pvt ltd mumbai bengaluru gurgaon azure sql python,5.5,Not disclosed,"Mumbai, Bengaluru, Gurgaon","Azure
SQL
Python"
Analyst,analyst empower retirement bengaluru analyst google analytics sas data science cod data model operations financial service,4.0,Not disclosed,Bengaluru,"Analyst
Google Analytics
SAS
data science
Coding
Data modeling
Operations
Financial services"
Analyst,analyst athenahealth technology private limit chennai robohelp madcap flare author relationship development product management word data management product optimization,5.5,Not disclosed,Chennai,"Robohelp
Madcap Flare
Authoring
Relationship Development
Product Management
Word
Data Management
Product Optimization"
Analyst,analyst xome chennai senior data analyst datawarehouse sql,7.0,Not disclosed,Chennai,"Senior Data Analyst
DataWarehouse
SQL"
Analyst,analyst dynata hyderabad excel outlook healthcare data process business strategy spss office word junior data analyst,5.0,Not disclosed,Hyderabad,"Excel
MS Outlook
Healthcare
Data processing
Business strategy
SPSS
MS Office Word
Junior Data Analyst"
Analyst,analyst bleuming technologies chennai bengaluru hyderabad sql query analyst tableau vlookup database commerce advance excel data analytics,3.5,Not disclosed,"Chennai, Bengaluru, Hyderabad","SQL queries
Analyst
tableau
VLOOKUP
Database
E-commerce
Advanced Excel
Data analytics"
Analyst,analyst dun bradstreet information service india private limit hyderabad data analysis metadata data structure dnb data quality data analyst management data architecture,2.5,Not disclosed,Hyderabad,"Data analysis
metadata
Data structures
DNB
Data quality
Data Analyst
Management
Data architecture"
Analyst,analyst huquo consult pvt ltd delhi ncr bengaluru gurgaon sas business analyst data management data insights data analytics analytics,3.5,Not disclosed,"Delhi NCR, Bengaluru, Gurgaon","SAS
Business Analyst
Data Management
Data Insights
Data Analytics
Analytics"
Analyst,analyst better com gurgaon power data analysis data visualization advance excel tableau spss data analytics,4.0,Not disclosed,Gurgaon,"Power Bi
Data Analysis
Data Visualization
Advanced Excel
Tableau
SPSS
Data Analytics"
Analyst,analyst adidas group gurgaon business administration data analysis analytical brand market windows data visualization information technology analytics,3.5,Not disclosed,Gurgaon,"Business administration
Data analysis
Analytical
Brand marketing
Windows
data visualization
Information technology
Analytics"
Analyst,analyst adidas group gurgaon business administration data analysis analytical brand market windows data visualization information technology analytics,3.0,Not disclosed,Gurgaon,"Business administration
Data analysis
Analytical
Brand marketing
Windows
data visualization
Information technology
Analytics"
Analyst,analyst yoma business solutions pvt ltd faridabad delhi ncr gurgaon executive assistant excel data analysis advance excel calendar management powerpoint office,2.0,100000 - 175000 ,"Faridabad, Delhi NCR, Gurgaon","Executive Assistant
Excel
Data Analysis
Advanced Excel
Calendar Management
Powerpoint
MS Office
EA"
Analyst,analyst creative hand consultancy chennai pune mumbai bengaluru mohali hyderabad business analytics analytical skills data analysis data analyst data analytics,2.0,300000 - 400000 ,"Chennai, Pune, Mumbai, Bengaluru, Mohali, Hyderabad","Business Analytics
Analytical Skills
Data Analysis
Data Analyst
Data Analytics"
Analyst,analyst reserve bank information technology pvt ltd mumbai lingpipe sentiment analysis machine learn scikit learn numpy sql nltk data science,5.5,Not disclosed,Mumbai,"LingPipe
Sentiment Analysis
Machine Learning
Scikit-Learn
Numpy
SQL
Nltk
Data Science"
Analyst,analyst talent corner service pvt ltd chennai pune delhi ncr mumbai bengaluru hyderabad pivot table data quality pivot chart macros dcount quality analysis dsum formulas,3.0,Not disclosed,"Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad","Pivot Table
Data Quality
Pivot Chart
and Macros
DCOUNT
Quality Analysis
DSUM
Formulas"
Analyst,analyst axis india limit mumbai suburbs excel data analysis,2.5,150000 - 200000 ,Mumbai Suburbs,"Excel
Data Analysis"
Analyst,analyst interactive broker mumbai forex analytical finance manager technology issue resolution customer support market data risk management,2.0,Not disclosed,Mumbai,"Forex
Analytical
Finance
Manager Technology
Issue resolution
Customer support
market data
Risk management"
Analyst,analyst hindco consult service mumbai analytical skills market analysis chemical excel pharma data analyst business intelligence petrochemical,3.0,Not disclosed,Mumbai,"Analytical skills
Market analysis
Chemical
Excel
Pharma
Data Analyst
Business intelligence
Petrochemical"
Analyst,analyst morningstar india ltd navi mumbai financial analysis financial research data accuracy financial statement analysis financial data equity research balance sheet income statement,2.5,300000 - 500000 ,Navi Mumbai,"Financial Analysis
Financial Research
Data Accuracy
Financial Statement Analysis
Financial Data
Equity Research
Balance Sheet
Income statement"
Analyst,analyst joulestowatts business solutions pvt ltd chennai pune delhi ncr bengaluru application development business communication life cycle power alteryx data analysis azure data lake technology consult,6.5,Not disclosed,"Chennai, Pune, Delhi NCR, Bengaluru","Application Development
Business Communication
Life Cycle
Power Bi
Alteryx
Data Analysis
Azure Data Lake
Technology Consulting"
Researcher,researcher pcds infotech mumbai hyderabad data research analyst research office business executive statistics,3.5,Not disclosed,"Mumbai, Hyderabad","Data Research Analyst
Research
MS Office
Business Executive
Statistics"
Researcher,researcher pcds infotech ltd mumbai hyderabad top tool data research analyst report preparation research office logic business executive,3.5,Not disclosed,"Mumbai, Hyderabad","top
Tools
Data Research Analyst
Report preparation
Research
MS Office
Logic
Business Executive"
Analyst,analyst larsen toubro infotech limit pune data integrity time management vba problem solve time series capital market operations sql quality control,8.5,Not disclosed,Pune,"Data Integrity
Time Management
VBA
Problem Solving
Time Series
Capital Market Operations
SQL
Quality Control"
Researcher,researcher pcds infotech mumbai hyderabad hyderabad secunderabad mumbai maths analyse data research statistical tool research analyst logic knowledge computers,7.0,Not disclosed,"Mumbai, Hyderabad, Hyderabad/Secunderabad, Mumbai","maths
analysing
data research
statistical tools
research analyst
logic
knowledge of computers"
Researcher,researcher pcds infotech mumbai hyderabad data research analyst research office business executive statistics,4.5,Not disclosed,"Mumbai, Hyderabad","Data Research Analyst
Research
MS Office
Business Executive
Statistics"
Analyst,analyst globalfoundries engineer private limit bengaluru data science artificial intelligence data analysis data analyst data analytics machine learn python,7.5,Not disclosed,Bengaluru,"Data Science
R
Artificial Intelligence
Data Analysis
Data Analyst
Data Analytics
Machine Learning
Python"
Data Engineer,data engineer flipkart internet private limit bengaluru java hive hadoop scala big data kafka mapreduce spark,6.0,Not disclosed,Bengaluru,"Java
Hive
Hadoop
SCALA
Big Data
Kafka
Mapreduce
Spark"
Data Engineer,data engineer netapp india private limit bengaluru product management automation data analysis consult bill business intelligence ruby sql,15.0,Not disclosed,Bengaluru,"Product management
Automation
Data analysis
Consulting
Billing
Business intelligence
Ruby
SQL"
Analyst,analyst integreon noida computer science data analysis operations research document review risk assessment machine learn forecast data extraction,4.5,Not disclosed,Noida,"Computer science
Data analysis
Operations research
Document review
Risk assessment
Machine learning
Forecasting
Data extraction"
Analyst,analyst saffron consultancy service scs bengaluru google analytics web analytics quantitative research mysql data collection data quality oracle digital market,2.0,Not disclosed,Bengaluru,"Google Analytics
Web analytics
Quantitative research
MySQL
Data collection
Data quality
Oracle
Digital marketing"
Analyst,analyst simplify bengaluru google analytics web analytics quantitative research mysql data collection data quality oracle digital market,4.5,Not disclosed,Bengaluru,"Google Analytics
Web analytics
Quantitative research
MySQL
Data collection
Data quality
Oracle
Digital marketing"
Analyst,analyst execboardinasia bengaluru google analytics web analytics quantitative research mysql data collection data quality oracle digital market,7.5,Not disclosed,Bengaluru,"Google Analytics
Web analytics
Quantitative research
MySQL
Data collection
Data quality
Oracle
Digital marketing"
Analyst,analyst cympl india google analytics pdf senior management commerce data visualization business intelligence data mine digital market,7.5,Not disclosed,India,"Google Analytics
PDF
Senior management
E-commerce
data visualization
Business intelligence
Data mining
Digital marketing"
Analyst,analyst acko general bengaluru network business analysis http data analyst analyst lotus analytics firewall,1.5,Not disclosed,Bengaluru,"Networking
Business analysis
HTTP
Data Analyst
Analyst 1
Lotus
Analytics
Firewall"
Analyst,analyst trainingsasaservice bengaluru san automation tableau french cook data analyst room,4.5,Not disclosed,Bengaluru,"SAN
Automation
tableau
French
Cook
Data Analyst
Room"
Analyst,analyst dun bradstreet technologies data service pvt ltd chennai bengaluru google analytics power google adwords digital market tableau market analytics,4.5,Not disclosed,"Chennai, Bengaluru","Google Analytics
Power Bi
Google AdWords
Digital Marketing
Tableau
Marketing Analytics"
Analyst,analyst snaphunt bengaluru excel segmentation xml mysql data analysis javascript data mine postgres,4.0,400000 - 700000 ,Bengaluru,"Excel
Segmentation
XML
MySQL
Data Analysis
Javascript
Data Mining
Postgres"
Researcher,researcher gaba consultancy service faridabad delhi ncr ghaziabad fresher data analyst power process analysis operation manager bank tableau market analytics graduate fresher,2.5,225000 - 475000 ,"Faridabad, Delhi NCR, Ghaziabad","fresher data analyst
Power Bi
Process Analysis
Operation manager
Banking
Tableau
Marketing Analytics
graduate fresher"
Analyst,analyst innovaccer noida computer science san health insurance nosql pdf data model javascript healthcare,5.5,Not disclosed,Noida,"Computer science
SAN
Health insurance
NoSQL
PDF
Data modeling
Javascript
US healthcare"
Analyst,analyst larsen toubro infotech limit chennai sql query retail data analysis business analyst financial products consult data analyst stakeholder management,10.5,Not disclosed,Chennai,"SQL queries
Retail
Data analysis
Business Analyst
financial products
Consulting
Data Analyst
Stakeholder management"
Analyst,analyst larsen toubro infotech limit india retail sql query data analysis business analyst financial products consult data analyst stakeholder management,6.5,Not disclosed,India,"Retail
SQL queries
Data analysis
Business Analyst
financial products
Consulting
Data Analyst
Stakeholder management"
Analyst,analyst larsen toubro infotech limit india fix income derivatives business analyst business data analyst analytical consult data map stakeholder management account,12.5,Not disclosed,India,"Fixed income derivatives
Business Analyst
Business Data Analyst
Analytical
Consulting
data mapping
Stakeholder management
Gl accounting"
Analyst,analyst larsen toubro infotech limit india loan journal entries business analyst analytical consult data analyst data map stakeholder management,6.5,Not disclosed,India,"Loans
Journal entries
Business Analyst
Analytical
Consulting
Data Analyst
data mapping
Stakeholder management"
Software Engineer,software engineer myntra design pvt ltd bengaluru loan journal entries business analyst analytical consult data analyst data map stakeholder management,4.5,Not disclosed,Bengaluru,"Loans
Journal entries
Business Analyst
Analytical
Consulting
Data Analyst
data mapping
Stakeholder management"
Manager,manager gsk company bengaluru procurement payroll hris healthcare customer support data management analyst data privacy customer service,4.0,Not disclosed,Bengaluru,"Procurement
Payroll
HRIS
Healthcare
Customer support
data management analyst
data privacy
Customer service"
Analyst,analyst navitas life science chennai bengaluru train executive clinical development transition clinical data analyst life sciences,2.5,Not disclosed,"Chennai, Bengaluru","Training
Executive
clinical development
Transition
Clinical Data Analyst
Life sciences"
Analyst,analyst priority vendor technologies pvt ltd noida pivot table sumif excel countif conditional format data analysis hlookup mis report,3.5,1000000 - 1500000 ,Noida,"Pivot Table
SUMIF
Excel
Countif
Conditional Formatting
Data Analysis
HLOOKUP
MIS Reporting"
Analyst,analyst accenture solutions pvt ltd bengaluru test script reconciliation consult database design development manual professional service individual contributor,4.0,Not disclosed,Bengaluru,"Test scripts
Reconciliation
Consulting
Database
Design development
Manual
professional services
Individual Contributor"
Analyst,analyst larsen toubro infotech limit india business analyst data model financial data analyst retail bank finance consult data analyst gap analysis,5.5,Not disclosed,India,"Business Analyst
Data modeling
Financial Data Analyst
Retail banking
Finance
Consulting
Data Analyst
Gap analysis"
Analyst,analyst deepr analytics delhi ncr noida stock market operations trade operator market data mathematics trade executive physics algorithms statistical model,3.5,600000 - 1200000 ,"Delhi NCR, Noida","Stock Market Operations
Trading Operator
market data
Mathematics
Trading Executive
Physics
Algorithms
Statistical Modeling"
Analyst,analyst larsen toubro infotech limit india fix income derivatives business analyst business data analyst analytical consult data map stakeholder management account,7.0,Not disclosed,India,"Fixed income derivatives
Business Analyst
Business Data Analyst
Analytical
Consulting
data mapping
Stakeholder management
Gl accounting"
Analyst,analyst larsen toubro infotech limit india fix income derivatives business analyst business data analyst analytical consult data map stakeholder management account,7.5,Not disclosed,India,"Fixed income derivatives
Business Analyst
Business Data Analyst
Analytical
Consulting
data mapping
Stakeholder management
Gl accounting"
Analyst,analyst fiserv india pvt ltd bengaluru red sales mysql director windows customer service associate financial service product market,4.0,Not disclosed,Bengaluru,"RED
Sales
MySQL
Director
Windows
Customer Service Associate
Financial services
Product marketing"
Analyst,analyst star knowledge mysore excel word data mine data collection data analyst,0.5,Not disclosed,Mysore,"Excel and Word
Data Mining
Data Collection
Data Analyst"
Analyst,analyst sanmax technologies limit jaipur development rdbms technical scala perl informatica sdlc sql,9.0,Not disclosed,Jaipur,"development
rdbms
technical
scala
Perl
Informatica
SDLC
sql"
Analyst,analyst global english india private limit chennai performance tune data model mysql data structure perl json oracle ssis,3.0,Not disclosed,Chennai,"Performance tuning
Data modeling
MySQL
Data structures
Perl
JSON
Oracle
SSIS"
Analyst,analyst vtalentglobal delhi data analysis sas project cost ihs predictive model data analyst data mine rate analysis,4.0,Not disclosed,Delhi,"Data analysis
SAS
Project costing
IHS
Predictive modeling
Data Analyst
Data mining
Rate analysis"
Analyst,analyst nims university jaipur senior data analyst iii,6.5,Not disclosed,Jaipur,Senior Data Analyst (DA III)
