Job_Roles,text,avg_exp,salary,locations,skills
Data Scientist,data scientist snaphunt bengaluru data science clear financial service bank operations linux machine learn statistical analysis statistics,10.5,Not disclosed,Bengaluru,"Data Science
Clearing
Financial Services
Banking Operations
Linux
Machine Learning
Statistical Analysis
Statistics"
Data Scientist,data scientist bloom consult service bengaluru computer science risk analytics online market machine learn risk management operations financial service sql,4.0,Not disclosed,Bengaluru,"Computer science
Risk analytics
Online marketing
Machine learning
Risk management
Operations
Financial services
SQL"
Data Scientist,data scientist acko general bengaluru statistical analysis network data science analytical machine learn http scientist data mine,4.5,Not disclosed,Bengaluru,"Statistical analysis
Networking
data science
Analytical
Machine learning
HTTP
Scientist 1
Data mining"
Data Scientist,data scientist narayana hrudayalaya ltd bengaluru change management nlp algorithms business analytics image process neural network data scientist medical image,2.5,Not disclosed,Bengaluru,"Change Management
NLP
Algorithms
Business Analytics
Image Processing
Neural Networks
data scientist
Medical Imaging"
Machine Learning Engineer,machine learn engineer execboardinasia bengaluru change management nlp algorithms business analytics image process neural network data scientist medical image,7.5,Not disclosed,Bengaluru,"Change Management
NLP
Algorithms
Business Analytics
Image Processing
Neural Networks
data scientist
Medical Imaging"
Data Scientist,data scientist luxoft bengaluru computer science social media cms html http adobe ims sql,12.5,Not disclosed,Bengaluru,"Computer science
Social media
CMS
HTML
HTTP
Adobe
IMS
SQL"
Data Scientist,data scientist novotree mind consult pvt limit bengaluru predictive model logistic regression sas artificial intelligence machine learn analytics data science regression analysis,3.5,1000000 - 2000000 ,Bengaluru,"Predictive Modeling
Logistic Regression
SAS
Artificial Intelligence
Machine Learning
Analytics
Data Science
Regression Analysis"
Data Scientist,data scientist snaphunt bengaluru business solutions computer science data analysis data mine data model data analytics statistical analysis statistics,6.5,Not disclosed,Bengaluru,"Business Solutions
Computer Science
Data Analysis
Data Mining
Data Modeling
Data Analytics
Statistical Analysis
Statistics"
Data Scientist,data scientist dun bradstreet technologies data service pvt ltd bengaluru model implementation nlp natural language process advance analytics data mine text mine analytics,4.0,Not disclosed,Bengaluru,"R
Model implementation
NLP
Natural Language Processing
Advanced Analytics
Data Mining
Text Mining
Analytics"
Data Scientist,data scientist canum infotech bengaluru text mine data science spark analytical machine learn hadoop data mine big data,3.5,Not disclosed,Bengaluru,"Text mining
data science
spark
Analytical
Machine learning
Hadoop
Data mining
big data"
Data Scientist,data scientist kongsberg maritime india private limit mumbai communication skills azure function data analysis spark sql azure iot python,7.5,700000 - 1100000 ,Mumbai,"Communication Skills
Azure Functions
Data Analysis
Spark
SQL Azure
IOT
Python"
Data Scientist,data scientist symbiosis international dubai uae cloudera scala impala cdh spark machine learn python,9.5,85000 - 95000 ,Dubai/ UAE,"Cloudera
SCALA
Impala
Cdh
Spark
Machine Learning
Python"
Data Scientist,data scientist deloitte share service india llp bengaluru data science predictive model logistic regression sql,9.5,Not disclosed,Bengaluru,"Data Science
Predictive Modeling
Logistic Regression
SQL"
Data Scientist,data scientist poshmark chennai computer science data analysis machine learn debug conceptualization continuous improvement monitor product market,4.5,Not disclosed,Chennai,"Computer science
Data analysis
Machine learning
Debugging
Conceptualization
Continuous improvement
Monitoring
Product marketing"
Data Scientist,data scientist fanatics inc hyderabad procurement supply chain computer science data analysis analytical data process data mine monitor,10.5,Not disclosed,Hyderabad,"Procurement
Supply chain
Computer science
Data analysis
Analytical
Data processing
Data mining
Monitoring"
Data Scientist,data scientist cubic transportation systems india pvt ltd hyderabad cloud compute network data management data model machine learn data mine information technology sql,4.5,Not disclosed,Hyderabad,"Cloud computing
Networking
Data management
Data modeling
Machine learning
Data mining
Information technology
SQL"
Machine Learning Engineer,machine learn engineer talpro gurgaon data science nlp data scientist data management data visualization machine learn python sql,4.0,Not disclosed,Gurgaon,"Data Science
NLP
Data Scientist
Data Management
Data Visualization
Machine Learning
Python
SQL"
Data Scientist,data scientist airtel payments bank limit bengaluru hyderabad gurgaon data science nosql algorithms linux business model artificial intelligence machine learn statistics,4.5,Not disclosed,"Bengaluru, Hyderabad, Gurgaon","Data Science
NoSQL
Algorithms
Linux
Business Modeling
Artificial Intelligence
Machine Learning
Statistics"
Data Scientist,data scientist execboardinasia pune cloud compute software architecture data analysis analytical machine learn natural language process data mine team build,13.0,Not disclosed,Pune,"Cloud computing
software architecture
Data analysis
Analytical
Machine learning
Natural language processing
Data mining
Team building"
Data Scientist,data scientist sakal media private limit pune social network analysis artificial neural network periscope data mine data visualization text mine tableau,6.0,400000 - 800000 ,Pune,"Social Network Analysis
R
Artificial Neural Networks
Periscope
Data Mining
Data Visualization
Text Mining
Tableau"
Analyst,analyst sevenmentor private limit pune computer science analyst sas machine learn program computer application data analyst spss,1.5,Not disclosed,Pune,"Computer science
Analyst
SAS
Machine learning
Programming
Computer application
Data Analyst
SPSS"
Data Scientist,data scientist bigshyft hire payu mumbai bengaluru janusgraph neural network natural language process nlp machine learn python,6.5,1800000 - 3300000 ,"Mumbai, Bengaluru","janusgraph
Neural Networks
Natural Language Processing NLP
Machine Learning ML
Python"
Data Scientist,data scientist buzzhire bengaluru data science nlp data scientist data mine data model data analytics machine learn phd,7.5,Not disclosed,Bengaluru,"Data Science
NLP
Data Scientist
Data Mining
Data Modeling
Data Analytics
Machine Learning
PhD"
Data Scientist,data scientist bion bengaluru data science nlp data scientist data mine data model data analytics machine learn phd,4.5,Not disclosed,Bengaluru,"Data Science
NLP
Data Scientist
Data Mining
Data Modeling
Data Analytics
Machine Learning
PhD"
Data Scientist,data scientist novotree mind consult pvt ltd bengaluru data science data scientist data management statistical model data model data analytics statistics analytics,7.5,Not disclosed,Bengaluru,"Data Science
Data Scientist
Data Management
Statistical Modeling
Data Modeling
Data Analytics
Statistics
Analytics"
Data Scientist,data scientist bigshyft hire kredx bengaluru hadoop data mine machine learn statistical model python,8.0,2250000 - 3250000 ,Bengaluru,"Hadoop
Data Mining
Machine Learning ML
Statistical Modelling
Python"
Analyst,analyst freelancer anubhav sharma delhi ncr data validation hadoop big data data mine data extraction data cleanse flume tableau,1.5,350000 - 550000 ,Delhi NCR,"Data Validation
Hadoop
Big Data
Data Mining
Data Extraction
Data Cleansing
Flume
Tableau"
Data Scientist,data scientist bigshyft hire draup bengaluru spark aws natural language process nlp deep learn python,3.5,800000 - 1800000 ,Bengaluru,"Spark
Aws
Natural Language Processing NLP
Deep Learning
Python"
Data Scientist,data scientist bigshyft hire thoughtfocus bengaluru scala hadoop scikit learn big data spark,7.0,Not disclosed,Bengaluru,"Scala
Hadoop
SciKit-Learn
Big data
Spark"
Analyst,analyst gaba consultancy service lucknow chandigarh jaipur fresher data analyst power bank data management tableau market analytics graduate fresher,0.0,225000 - 475000 ,"Lucknow, Chandigarh, Jaipur","O2C
fresher data analyst
Power Bi
Banking
Data Management
Tableau
Marketing Analytics
graduate fresher"
Data Scientist,data scientist integral science remote computer science global operations computer vision gcp neural network machine learn ias analytics,3.5,Not disclosed,Remote,"Computer science
global operations
Computer vision
GCP
Neural networks
Machine learning
IAS
Analytics"
Data Scientist,data scientist transorg analytics gurgaon gurugram data mine python data management data science data scientist sql machine learn,4.5,Not disclosed,Gurgaon Gurugram,"data mining
Python
Data Management
Data Science
Data Scientist
R
SQL
Machine learning"
Analyst,analyst placeminds consult pvt ltd mumbai sas sql logistics regression business analytics factor analysis predictive model data mine data analyst data science,8.0,Not disclosed,Mumbai,"SAS SQL
Logistics Regression
Business Analytics
Factor Analysis
Predictive Modelling
Data Mining
Data Analyst
Data Science"
Data Scientist,data scientist change leaders navi mumbai mumbai predictive model artificial intelligence data management machine learn statistics data science nlp mxnet,5.0,Not disclosed,"Navi Mumbai, Mumbai","Predictive Modeling
Artificial Intelligence
Data Management
Machine Learning
Statistics
Data Science
NLP
MXNet"
Data Scientist,data scientist bigshyft hire datamatics business solutions mumbai hive hadoop spark python sql,4.0,1100000 - 1900000 ,Mumbai,"Hive
Hadoop
Spark
Python
SQL"
Data Scientist,data scientist evalueserve com pvt ltd gurgaon data science artificial intelligence natural language process text mine machine learn python,5.5,Not disclosed,Gurgaon,"Data Science
Artificial Intelligence
Natural Language Processing
Text Mining
Machine Learning
Python"
